"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.080666626E-3,-1.756439628E-3,-1.792824613E-2,-1.959285021E-2,2.661553811E-2
1.502466667E-2,8.727699350E-2,1.708533573E-2,-5.162682116E-2,1.028324412E-1
2.496866661E-2,1.441397130E-1,5.640355781E-2,-1.495308459E-2,1.555030963E-1
3.491266666E-2,1.447446989E-1,5.432700139E-2,1.512674689E-3,1.546115750E-1
4.485566658E-2,8.967793333E-2,1.560107485E-2,-5.611631334E-2,1.069325296E-1
5.479966663E-2,6.168246064E-3,-1.489660414E-2,-3.321218491E-2,3.691890167E-2
6.474366668E-2,-7.818269108E-2,-1.036249040E-2,-1.764221907E-2,8.081560670E-2
7.468766661E-2,-1.353390140E-1,-2.062492260E-2,-2.033486187E-2,1.384035503E-1
8.463066665E-2,-1.547217481E-1,-4.047756049E-2,-3.305781841E-2,1.633097413E-1
9.457466658E-2,-1.247581757E-1,-4.287352106E-2,-3.335661113E-2,1.360713222E-1
1.045186666E-1,-5.597079990E-2,-7.331926490E-3,-2.093361676E-2,6.020551385E-2
1.144616667E-1,3.416502524E-2,2.517890317E-2,-1.674350202E-2,4.562423670E-2
1.244056666E-1,1.077304899E-1,2.478371362E-2,-3.186323225E-2,1.150450194E-1
1.343496667E-1,1.424512108E-1,2.561551888E-2,-2.198202252E-2,1.463957362E-1
1.442936666E-1,1.186525771E-1,3.771877105E-2,-3.590307355E-2,1.295768900E-1
1.542366666E-1,5.176779388E-2,1.750451714E-2,-2.003606915E-2,5.820443858E-2
1.641806667E-1,-2.644412415E-2,-8.853200697E-3,-2.811867535E-2,3.960215611E-2
1.741246666E-1,-1.061887162E-1,-2.356978825E-2,-1.808777690E-2,1.102667041E-1
1.840686667E-1,-1.371605130E-1,-2.647355666E-2,-2.646859109E-2,1.421775012E-1
1.940116666E-1,-1.228530981E-1,-2.785858161E-2,-2.631948709E-2,1.286922673E-1
2.039556666E-1,-7.881965387E-2,-1.747896983E-2,-2.736847758E-2,8.524720398E-2
