"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.000625065E-3,-1.334668360E-1,-4.030566605E-2,1.833277524E-2,1.406201752E-1
1.794462500E-2,-1.031316274E-1,-1.783260989E-2,-6.665825844E-3,1.048740567E-1
2.788762504E-2,-2.250772376E-2,2.168956124E-3,-6.279968083E-2,6.674654981E-2
3.783162497E-2,7.766320252E-2,5.471823037E-2,-1.549921453E-2,9.625945882E-2
4.777562502E-2,1.203504715E-1,9.093657391E-2,-2.028925359E-2,1.522016763E-1
5.771862506E-2,1.446793288E-1,1.133262205E-1,1.638682187E-2,1.845087216E-1
6.766262499E-2,1.351407385E-1,9.722059485E-2,-7.582084537E-2,1.829307625E-1
7.760662504E-2,1.072890799E-1,6.497506432E-2,1.923500061E-2,1.268963786E-1
8.754962496E-2,-8.051241366E-3,6.762487628E-3,-3.884188414E-2,4.023985201E-2
9.749362501E-2,-1.199835496E-1,-4.319299373E-2,-5.186421812E-2,1.376647522E-1
1.074376251E-1,-1.854789795E-1,-6.794582903E-2,1.878827333E-2,1.984240075E-1
1.173806250E-1,-1.822802237E-1,-6.905484027E-2,-5.276527405E-2,2.019376762E-1
1.273246250E-1,-1.226315251E-1,-5.182102638E-2,-2.642356753E-2,1.357280909E-1
1.372686250E-1,-5.364922687E-2,-1.453423209E-2,-4.738232732E-2,7.303812969E-2
1.472116250E-1,4.851297783E-2,4.235380408E-2,-6.800311804E-4,6.440354168E-2
1.571556251E-1,1.409828744E-1,1.252829359E-1,-3.406295478E-2,1.916566456E-1
1.670996250E-1,1.664469139E-1,1.053839657E-1,-3.002018988E-2,1.992776133E-1
1.770436250E-1,1.870123205E-1,8.749623667E-2,-5.291730165E-4,2.064690763E-1
1.869866250E-1,6.715193703E-2,6.198460638E-2,-6.668807924E-2,1.131316666E-1
1.969306250E-1,-5.352945945E-2,8.674234785E-3,-3.045931578E-2,6.219658589E-2
2.068746251E-1,-1.264609215E-1,-3.924717384E-2,5.606251895E-2,1.437905120E-1
2.168176250E-1,-1.935410108E-1,-8.125841788E-2,-1.328452313E-1,2.484127791E-1
2.267616250E-1,-1.784164567E-1,-7.326039531E-2,4.094161928E-2,1.971693022E-1
2.367056250E-1,-1.362556838E-1,-4.269296543E-2,-5.216768861E-2,1.520189738E-1
2.466486250E-1,2.154561924E-3,3.157248859E-2,1.474024594E-2,3.491044290E-2
2.565926251E-1,9.790859286E-2,6.532634494E-2,-7.163073063E-2,1.377845618E-1
2.665366250E-1,1.633037614E-1,8.888972866E-2,-8.165051937E-3,1.861079536E-1
2.764796250E-1,1.649075978E-1,1.109064233E-1,-2.118680120E-2,1.998590280E-1
2.864236250E-1,1.185887694E-1,1.050455033E-1,-5.366632998E-2,1.672660424E-1
2.963676250E-1,5.735961411E-2,4.604150595E-2,2.821749330E-2,7.877926459E-2
3.063106250E-1,-3.394189001E-2,-1.185669154E-2,-8.329768002E-2,9.072561120E-2
3.162546250E-1,-1.083173128E-1,-3.068939001E-2,-1.773168147E-2,1.139688178E-1
3.261986250E-1,-1.444968866E-1,-4.214493515E-2,-1.548752010E-2,1.513122899E-1
3.361426250E-1,-1.403088184E-1,-4.104263906E-2,-2.402153134E-2,1.481489004E-1
3.460856250E-1,-7.245569053E-2,-1.626964001E-2,-3.839340270E-2,8.359773709E-2
3.560296251E-1,-3.653121069E-3,1.596909313E-2,-3.704854310E-2,4.050866295E-2
3.659736250E-1,6.978822730E-2,6.253570188E-2,1.234698057E-2,9.451750424E-2
3.759166250E-1,1.101329829E-1,8.186282812E-2,-5.501352847E-2,1.478420944E-1
3.858606250E-1,1.235159713E-1,7.765233949E-2,-2.522254944E-2,1.480616696E-1
3.958046250E-1,9.976495592E-2,6.621093274E-2,-2.507286072E-2,1.223338971E-1
4.057476250E-1,2.663442361E-2,3.401029330E-2,-4.378161192E-2,6.150546410E-2
4.156916250E-1,-6.830914669E-2,-2.636431879E-3,-2.147448421E-2,7.165363749E-2
4.256356250E-1,-1.217888865E-1,-3.971797063E-2,-5.156659484E-3,1.282054648E-1
4.355786250E-1,-1.368914863E-1,-5.511629328E-2,-5.814880550E-2,1.586138972E-1
4.455226250E-1,-1.081723749E-1,-3.182076685E-2,-2.915421724E-3,1.127932781E-1
4.554666250E-1,-6.519215134E-2,-5.318362406E-3,-3.719472349E-2,7.524459469E-2
4.654096250E-1,4.659298975E-3,2.927382021E-2,-6.810836792E-3,3.041468584E-2
4.753536250E-1,7.076949972E-2,5.564509171E-2,-4.049196839E-2,9.871320999E-2
4.852976250E-1,1.177146928E-1,7.429104473E-2,-2.372683167E-2,1.412050664E-1
