"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.697375090E-3,-3.954996368E-2,-2.099494400E-2,-3.618081629E-2,5.756768858E-2
8.246624959E-3,-3.822122960E-2,-2.106023182E-2,-2.510385096E-2,5.034480201E-2
1.819062501E-2,-2.279835778E-2,-2.919583526E-2,-2.854669154E-2,4.676617914E-2
2.813362493E-2,-2.717815071E-2,-1.945995853E-2,-3.767828822E-2,5.036859404E-2
3.807762498E-2,-5.000721551E-3,6.032453617E-4,-3.303793788E-2,3.341970168E-2
4.802162491E-2,2.182381880E-3,-4.869750773E-3,-2.824848354E-2,2.874811447E-2
5.796462495E-2,2.896553490E-2,-1.881410158E-4,-2.705097377E-2,3.963322837E-2
6.790862500E-2,3.687710091E-2,1.069572002E-2,-3.857700527E-2,5.442889245E-2
7.785262493E-2,3.995364997E-2,1.264729220E-2,-2.031439662E-2,4.657169586E-2
8.779662498E-2,2.380190444E-2,5.262167465E-3,-2.106284022E-2,3.221590135E-2
9.773962502E-2,1.339916876E-3,-7.847470469E-3,-2.764914393E-2,2.877244046E-2
1.076836250E-1,-3.095301264E-2,-9.198565576E-3,-1.522498012E-2,3.570017675E-2
1.176276250E-1,-4.581391222E-2,-2.172397759E-2,-2.285910487E-2,5.561820233E-2
1.275706249E-1,-5.834362742E-2,-2.280200316E-2,-1.851754725E-2,6.532082183E-2
1.375146250E-1,-5.312322414E-2,-3.402156061E-2,-3.213922083E-2,7.079882093E-2
1.474586249E-1,-2.477140934E-2,-1.154902521E-2,-2.585112512E-2,3.762025218E-2
1.574016250E-1,1.422231968E-2,7.165609749E-3,-1.028466761E-2,1.895770893E-2
1.673456250E-1,6.049789698E-2,2.797156991E-2,-2.944482386E-2,7.286564289E-2
1.772896249E-1,7.919342799E-2,1.758588708E-2,-3.109023035E-2,8.687614681E-2
1.872326250E-1,6.413222473E-2,1.494526622E-2,-3.183808923E-2,7.314346968E-2
1.971766250E-1,1.173627544E-2,8.529166735E-3,-7.586762309E-3,1.637210459E-2
2.071206250E-1,-2.723159792E-2,-1.769054311E-2,-2.345142782E-2,4.005601961E-2
2.170646250E-1,-4.165052108E-2,-2.910074948E-2,-2.240302205E-2,5.552940594E-2
2.270076249E-1,-5.220610664E-2,-3.230536398E-2,-3.018625081E-2,6.841289243E-2
2.369516250E-1,-3.961275729E-2,-2.184873798E-2,-3.168255329E-2,5.522972094E-2
2.468956250E-1,-6.516913706E-3,8.596320637E-5,-1.866080403E-2,1.976621261E-2
2.568386249E-1,3.742927906E-2,1.102130715E-2,-3.123524129E-2,4.998060065E-2
2.667826250E-1,6.599634449E-2,1.649875493E-2,-2.390107870E-2,7.210400796E-2
2.767266249E-1,5.572858812E-2,1.991798966E-2,-2.225391805E-2,6.322688285E-2
2.866696250E-1,4.298876602E-2,1.769355808E-2,-2.030796468E-2,5.072976869E-2
2.966136250E-1,1.988715702E-2,4.195788363E-3,-3.093644857E-2,3.701577373E-2
3.065576250E-1,-1.532937119E-2,-1.062395002E-2,-3.407874227E-2,3.884866290E-2
3.165006250E-1,-4.604650349E-2,-2.906924304E-2,-2.554531574E-2,6.014868686E-2
3.264446249E-1,-6.993182212E-2,-3.555244618E-2,-2.015593708E-2,8.099813562E-2
3.363886250E-1,-7.059710735E-2,-3.061375079E-2,-3.258068562E-2,8.356227845E-2
3.463316250E-1,-4.722382209E-2,-2.978894392E-2,-2.749126911E-2,6.223536318E-2
3.562756249E-1,-3.911047233E-3,-1.788042458E-2,-1.656340778E-2,2.468506332E-2
3.662196250E-1,5.437499424E-3,-5.117229607E-3,-3.243158162E-2,3.328002291E-2
3.761636249E-1,-3.615735434E-3,-1.483608546E-2,-2.973718464E-2,3.342877690E-2
3.861066250E-1,-2.903117904E-2,-1.232233090E-2,-2.000683308E-2,3.734866216E-2
3.960506250E-1,-3.763348393E-2,-1.707555992E-3,-4.350854695E-2,5.755161612E-2
4.059946249E-1,2.131946904E-2,1.243349424E-2,-1.252356648E-2,2.767582440E-2
4.159376250E-1,8.397817715E-2,4.975220382E-2,-1.416897297E-2,9.863252921E-2
4.258816249E-1,9.042726316E-2,2.511545860E-2,-5.323772907E-2,1.078987117E-1
4.358256250E-1,4.994049330E-2,-9.642574810E-3,-3.090838194E-3,5.095670124E-2
