"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.173145830E-2,1.086885470E-2,-2.737884725E-2,4.472301364E-2,5.355260244E-2
2.171045833E-2,6.459014394E-2,2.477995633E-2,-1.624455911E-1,1.765630284E-1
3.168845834E-2,-2.194169272E-2,-5.669794227E-2,6.133495331E-2,8.636012410E-2
4.166745831E-2,2.159483635E-2,-2.759682506E-2,-8.086699247E-2,8.813280991E-2
5.164545833E-2,1.197717159E-2,-1.746690766E-2,2.625399828E-4,2.118052006E-2
6.162445829E-2,8.225152635E-3,-1.306976495E-2,-1.515539825E-2,2.163695884E-2
7.160245831E-2,1.131470490E-3,-1.082329210E-2,-6.111100495E-2,6.207236747E-2
8.158145833E-2,-8.528129768E-3,-4.272132443E-2,-1.306209505E-2,4.548031316E-2
9.155945835E-2,2.975283965E-2,-1.863689897E-2,-5.482349396E-2,6.510131305E-2
1.015384583E-1,4.148211214E-3,-1.306161539E-2,-5.877036452E-3,1.491150597E-2
1.115164583E-1,2.761096344E-4,-2.060953940E-2,-2.638322175E-2,3.347990054E-2
1.214954583E-1,9.248705450E-3,-3.639683437E-2,-6.171034455E-2,7.223873427E-2
1.314734583E-1,3.213389895E-3,-3.185336965E-2,-7.224234939E-3,3.282000309E-2
1.414524583E-1,1.394923415E-2,-7.610242534E-3,-4.314777374E-2,4.598072752E-2
1.514304583E-1,-3.063750967E-2,4.182417425E-3,-2.518571198E-2,3.988069335E-2
1.614094583E-1,-2.416237615E-2,-1.750397810E-2,-3.626267731E-2,4.695946589E-2
1.713874583E-1,-2.669433016E-2,-1.559773555E-2,-7.413275421E-2,8.032149067E-2
1.813664583E-1,-4.473725252E-3,-1.136297640E-2,3.109666228E-2,3.340858955E-2
1.913444583E-1,2.590616889E-2,-9.901231877E-3,-1.994660676E-2,3.416183690E-2
2.013234583E-1,3.016289849E-2,-3.830481281E-2,-4.284898102E-2,6.490835312E-2
2.113014583E-1,6.648756999E-3,-4.847926041E-2,-3.072419465E-2,5.777906884E-2
2.212804583E-1,4.755175039E-2,-1.937895175E-2,-8.570848703E-3,5.205931409E-2
2.312584583E-1,2.599495521E-2,-1.331925833E-2,-3.072477937E-2,4.239283437E-2
2.412374583E-1,-7.938947417E-3,-7.093339534E-3,-1.979691803E-2,2.247799625E-2
2.512154583E-1,-3.674705746E-2,-1.920099083E-2,-4.494579256E-2,6.114857765E-2
2.611944583E-1,-3.778173140E-2,-2.331239199E-3,-3.102415681E-2,4.894274420E-2
2.711724583E-1,-1.205387518E-2,-4.292550646E-3,-1.036652863E-2,1.646775072E-2
2.811514583E-1,4.301236959E-3,-1.497806316E-2,-9.916877747E-3,1.847126091E-2
2.911294583E-1,-1.244430017E-2,-3.384398569E-2,-6.425329864E-2,7.368013545E-2
3.011084583E-1,4.717385124E-3,-4.889439901E-2,-9.467811584E-3,5.002554781E-2
3.110864583E-1,4.976808267E-2,-3.331786876E-2,-2.817773223E-2,6.618857171E-2
3.210654583E-1,3.875659701E-2,-3.016313603E-2,-3.236843169E-2,5.881839812E-2
3.310434583E-1,-3.841118189E-3,-3.925721004E-2,-1.590384185E-2,4.253016476E-2
3.410224583E-1,-4.869312232E-3,-1.010570170E-2,-4.045279205E-2,4.197932578E-2
3.510004583E-1,6.870729639E-4,-5.861162175E-3,-3.401559234E-2,3.452369930E-2
3.609794583E-1,-2.337992505E-2,-8.559839493E-3,-8.718198538E-3,2.637989259E-2
3.709574583E-1,-3.672412541E-2,-1.644447633E-2,-3.266839385E-2,5.182958755E-2
3.809364583E-1,-2.788372692E-2,-5.690857451E-3,-2.698022246E-2,3.921505437E-2
3.909144583E-1,1.742991717E-2,-1.426054585E-2,-6.772829890E-3,2.351672607E-2
4.008934583E-1,1.071664209E-2,-2.813788894E-2,-2.234045684E-2,3.749244222E-2
4.108714583E-1,-1.374691820E-3,-4.437233145E-2,-3.221991241E-2,5.485358996E-2
4.208504583E-1,2.297007406E-2,-3.299313816E-2,7.104367018E-4,4.020791201E-2
4.308284583E-1,3.590945752E-2,-2.660717924E-2,-3.671057403E-2,5.783681675E-2
4.408074583E-1,2.411312935E-2,-1.557416853E-2,-2.772866607E-2,3.991085885E-2
4.507854583E-1,-6.285692872E-3,-1.824834692E-2,2.809587121E-3,1.950399652E-2
4.607644583E-1,1.154642366E-4,-1.015756376E-2,-3.955115139E-2,4.083482595E-2
4.707434583E-1,-1.686690568E-2,-1.883831271E-3,-1.844562650E-2,2.506556332E-2
4.807214583E-1,-3.427498487E-2,-1.898472151E-3,-2.009395659E-2,3.977619735E-2
4.907004583E-1,-4.200860823E-2,-2.506934325E-3,-4.045162261E-2,5.837243918E-2
5.006784583E-1,-8.612884702E-3,-2.404198746E-2,-2.428524077E-2,3.524162118E-2
5.106574583E-1,2.441016790E-2,-1.633339750E-2,-2.131310105E-3,2.944789727E-2
5.206354583E-1,2.423425579E-2,-3.233454068E-2,-3.581244171E-2,5.399400574E-2
5.306144583E-1,2.735225384E-2,-3.826060695E-2,-3.416586578E-2,5.813197243E-2
5.405924583E-1,9.488952924E-3,-4.932120921E-2,-2.473547637E-2,5.598629919E-2
5.505714583E-1,2.165127340E-2,-3.386424538E-2,-2.772749662E-2,4.883010162E-2
5.605494583E-1,-4.161657526E-3,-2.224395038E-2,-1.021391630E-2,2.482814548E-2
5.705284583E-1,-2.953892749E-2,-1.087105655E-2,-4.030134916E-2,5.113635548E-2
5.805064583E-1,-1.671677842E-2,-8.204009011E-3,-4.524107695E-2,4.892352694E-2
5.904854583E-1,-2.473648593E-2,-1.080632604E-2,-1.904613554E-2,3.303673256E-2
6.004634583E-1,-1.325440220E-2,-1.891501630E-2,-1.006422758E-2,2.519415996E-2
6.104424583E-1,1.366329617E-2,-2.523848310E-2,-4.284430325E-2,5.156841099E-2
6.204204583E-1,2.135878699E-2,-2.594613781E-2,-2.817305446E-2,4.385340177E-2
6.303994583E-1,3.225039787E-2,-2.275985752E-2,-1.859297633E-2,4.363253426E-2
6.403774583E-1,5.895667143E-2,-3.050903538E-2,-4.149418116E-2,7.828446472E-2
6.503564583E-1,3.331975769E-2,-4.772399201E-2,-3.296133935E-2,6.688972684E-2
6.603344583E-1,3.261359904E-3,-3.427126184E-2,-2.368180811E-2,4.178497209E-2
6.703134583E-1,1.092475957E-2,-1.525502019E-2,-2.457994044E-2,3.092312217E-2
6.802914583E-1,-1.318404604E-2,3.311748742E-3,-2.143706203E-2,2.538374239E-2
6.902704583E-1,-1.887539228E-2,-1.245566112E-2,-2.532955348E-2,3.395600400E-2
7.002484583E-1,-3.925624159E-2,-1.024112413E-3,-3.730465114E-2,5.416399456E-2
7.102274583E-1,-2.065913110E-2,4.781647394E-3,-2.098799586E-2,2.983554625E-2
7.202054583E-1,4.077670039E-3,-8.711794009E-3,-2.293336451E-2,2.486889534E-2
7.301844583E-1,3.047719775E-2,-2.998803476E-2,-3.296075463E-2,5.398660165E-2
7.401624583E-1,2.665372399E-2,-5.097180967E-2,-3.969557762E-2,6.988766176E-2
7.501414583E-1,1.765714317E-2,-2.777116345E-2,-1.799071312E-2,3.750570600E-2
