"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.639333299E-3,2.572567950E-2,1.763311020E-2,-3.918043792E-2,5.007837734E-2
1.361733332E-2,1.028314300E-2,-3.439752515E-3,-9.092420340E-3,1.415086693E-2
2.359633334E-2,6.761202839E-3,3.156902594E-3,-9.394136667E-3,1.199707054E-2
3.357433330E-2,-7.496563297E-3,-1.049645559E-2,-3.693744600E-2,3.912478700E-2
4.355233331E-2,-1.716529755E-2,-9.533071993E-3,-2.359936237E-3,1.977615232E-2
5.353033333E-2,-1.034199431E-2,1.646117287E-2,-3.873488009E-2,4.333956615E-2
6.350833329E-2,-2.020083273E-2,4.352228791E-3,-1.403741062E-2,2.498128170E-2
7.348633331E-2,-2.321022560E-2,4.892310519E-3,-2.137215793E-2,3.192833239E-2
8.346433332E-2,-1.451228104E-2,9.141299408E-4,-3.304904759E-2,3.610652962E-2
9.344233334E-2,4.557904030E-3,-7.103115348E-3,1.827839613E-3,8.635376914E-3
1.034203333E-1,1.518466059E-2,2.114718631E-3,-4.759048820E-3,1.605286572E-2
1.133983333E-1,1.127915908E-2,-3.998335199E-3,-2.721177220E-2,2.972686765E-2
1.233773333E-1,-3.710939982E-3,-1.441191564E-2,-3.050433934E-2,3.394096502E-2
1.333553333E-1,1.032797013E-2,9.627349209E-3,-1.658270359E-2,2.177932226E-2
1.433333333E-1,9.747527763E-3,-1.269183839E-3,1.380293727E-2,1.694538882E-2
1.533113333E-1,3.213433293E-3,-6.577350162E-3,-1.014784276E-2,1.251264966E-2
1.632893333E-1,-1.843679743E-2,-1.326660141E-3,-4.263029516E-2,4.646522992E-2
1.732673333E-1,-2.260757638E-2,4.022856960E-3,-2.077457249E-2,3.096560592E-2
1.832453333E-1,-1.337343073E-2,1.227877828E-2,-3.230060399E-2,3.705328681E-2
1.932233333E-1,4.967226114E-4,-3.635122608E-3,-2.900628269E-2,2.923739532E-2
2.032013333E-1,-2.183528482E-2,-1.102466930E-2,-2.631130099E-2,3.592502688E-2
2.131793333E-1,-2.487569991E-3,-1.367746881E-2,-2.571371555E-2,2.923108491E-2
2.231583333E-1,4.812027220E-3,1.529192160E-2,-2.376659274E-2,2.866791591E-2
2.331363333E-1,1.155952736E-2,-5.512891961E-3,-5.636715889E-4,1.281921902E-2
2.431143333E-1,7.732735992E-3,-1.694376916E-2,-2.780760348E-2,3.346863204E-2
2.530923333E-1,1.749642582E-2,-2.125683074E-2,-4.068200290E-2,4.912232822E-2
2.630703333E-1,2.347821081E-2,2.139313482E-3,-2.556519628E-2,3.477617439E-2
2.730483333E-1,-1.180483747E-2,9.094613045E-3,-2.885659397E-2,3.247721031E-2
2.830263333E-1,-1.482732034E-2,-6.340108523E-3,-3.065168917E-2,3.463484450E-2
2.930043333E-1,-1.788929362E-2,4.084682129E-3,-2.661067843E-2,3.232397966E-2
3.029823333E-1,-2.325967797E-2,1.685015889E-2,-1.987702489E-2,3.492902221E-2
3.129603333E-1,-2.634251964E-2,2.486238836E-2,-2.826017797E-2,4.594240258E-2
3.229393333E-1,-3.739701888E-2,4.284684313E-3,-2.017640233E-2,4.270811107E-2
3.329173333E-1,-2.971184690E-3,6.306934711E-3,-3.708888888E-2,3.773845575E-2
3.428953333E-1,3.838021277E-3,-7.761137243E-3,-2.870632052E-2,2.998363715E-2
3.528733333E-1,1.489951975E-2,-1.697142466E-2,-2.017523289E-2,3.028308052E-2
3.628513333E-1,1.979477786E-2,-3.392554522E-3,-2.750881076E-2,3.405990790E-2
3.728293333E-1,1.921336134E-2,-1.587740147E-2,-1.673180759E-2,3.001996864E-2
3.828073333E-1,1.096262143E-2,-1.811885851E-2,-2.092426121E-2,2.977073747E-2
3.927853333E-1,9.140527393E-3,-5.216154903E-3,-5.507492423E-3,1.187813057E-2
4.027633333E-1,-1.782740535E-4,8.593342211E-3,-2.736146092E-2,2.867972901E-2
4.127413333E-1,-9.100217579E-4,6.243090425E-4,-1.987760961E-2,1.990822105E-2
4.227203333E-1,-3.855970059E-3,2.923516463E-4,-9.996984601E-3,1.071884675E-2
4.326983333E-1,-4.356367523E-3,1.534116612E-2,-1.852865696E-2,2.444668576E-2
4.426763333E-1,-1.363146995E-2,1.680106055E-2,-2.526464939E-2,3.326251821E-2
4.526543333E-1,-1.028408517E-2,-4.895754894E-3,-7.151144743E-3,1.344878043E-2
4.626323333E-1,2.669667933E-3,-1.444948400E-2,-1.807725191E-2,2.329595998E-2
4.726103333E-1,1.722948444E-2,3.926560627E-3,-2.810405731E-2,3.319805792E-2
4.825883333E-1,6.671713602E-3,-3.069331404E-3,-3.154748261E-2,3.239098975E-2
4.925663333E-1,1.193751117E-3,-1.148246974E-4,-1.747615814E-2,1.751725806E-2
5.025443333E-1,-6.145070762E-3,-1.879194612E-2,-1.927183807E-2,2.760983296E-2
5.125233333E-1,6.345640537E-3,-5.955937319E-4,-3.169775605E-2,3.233217630E-2
5.225013333E-1,-1.658910355E-2,-2.872499507E-3,-8.047522902E-3,1.866044573E-2
5.324793333E-1,3.821257641E-3,-2.151355091E-3,-9.095343947E-3,1.009730757E-2
5.424573333E-1,-1.253542537E-2,1.361651159E-2,-2.107044160E-2,2.804478180E-2
5.524353333E-1,-3.018983394E-3,-1.071568049E-2,-9.693514109E-3,1.476158138E-2
5.624133333E-1,4.331700438E-6,-6.694632517E-3,-2.466238618E-2,2.555487068E-2
5.723913333E-1,-2.186730175E-3,-6.327418238E-4,-2.076989472E-2,2.089427380E-2
5.823693333E-1,1.111231358E-2,1.771779433E-3,-2.989973724E-2,3.194709693E-2
5.923473333E-1,-2.225511490E-2,-4.370830245E-3,-1.133716643E-2,2.535597837E-2
6.023253333E-1,-1.187368615E-2,1.345612429E-2,-2.055881023E-3,1.806317665E-2
6.123043333E-1,-8.932867298E-3,-5.124709932E-3,-4.337055266E-2,4.457649165E-2
6.222823333E-1,-2.615978959E-2,3.653066251E-3,-1.148568571E-2,2.880278563E-2
6.322603333E-1,6.722091019E-3,-1.121834004E-3,-2.735152066E-2,2.818777575E-2
6.422383333E-1,7.505297005E-3,1.358084357E-2,-1.911688685E-2,2.462161973E-2
6.522163333E-1,1.205927701E-2,-1.432863850E-2,-8.187856078E-3,2.043959467E-2
6.621943333E-1,8.169626927E-3,-9.040973978E-3,-1.611960411E-2,2.020701985E-2
6.721723333E-1,4.793569091E-3,1.063049387E-2,-1.596816123E-2,1.977290766E-2
6.821503333E-1,8.465832939E-3,-4.560243487E-3,-1.087932944E-2,1.451984701E-2
6.921283333E-1,-1.278693102E-2,4.799065702E-3,-3.378111899E-2,3.643762666E-2
7.021063333E-1,4.567390909E-3,-1.323754806E-3,-3.872084677E-2,3.901175927E-2
7.120853333E-1,-3.649495110E-2,1.244780850E-2,-3.991309404E-3,3.876544780E-2
7.220633333E-1,-6.417533424E-2,3.400983648E-2,-1.686336994E-2,7.456216030E-2
7.320413333E-1,-5.452648738E-2,2.262895298E-2,-5.967200518E-2,8.394019026E-2
7.420193333E-1,-4.482290510E-2,-1.613700871E-2,-2.015301347E-2,5.172658720E-2
7.519973333E-1,-3.145053703E-3,-1.142206983E-2,-5.069009721E-2,5.205613314E-2
7.619753333E-1,4.079184833E-2,-1.331580025E-2,-3.482250810E-2,5.526203486E-2
7.719533333E-1,5.984670445E-2,-1.966960405E-2,-1.132196367E-2,6.400553272E-2
7.819313333E-1,9.650252935E-2,-4.851111403E-2,-3.197842240E-2,1.126440671E-1
7.919093333E-1,7.257570006E-2,-4.389937850E-2,-4.006219804E-2,9.380494328E-2
8.018873333E-1,2.251455769E-2,3.761769645E-3,-5.036791563E-3,2.337574572E-2
8.118663333E-1,-1.862742580E-2,2.521719558E-2,-6.682782769E-3,3.205538224E-2
8.218443333E-1,-5.658183850E-2,8.103500856E-3,-4.111001909E-2,7.040742037E-2
8.318223333E-1,-6.881763061E-2,2.972785651E-2,-2.090028763E-2,7.782309271E-2
8.418003333E-1,-7.988583882E-2,3.256614980E-2,-3.556861281E-2,9.331359802E-2
8.517783333E-1,-3.450327753E-2,2.097617352E-2,-1.401168287E-2,4.274111923E-2
8.617563333E-1,-6.900655506E-3,5.365076177E-3,-1.131553173E-2,1.429840366E-2
8.717343333E-1,5.648120244E-2,-2.322442794E-2,-2.852681100E-2,6.740385173E-2
8.817123333E-1,7.445599560E-2,-4.260359896E-2,-3.152117014E-2,9.139117075E-2
8.916903333E-1,5.001599091E-2,-2.570879110E-2,-6.524907947E-3,5.661374135E-2
9.016693333E-1,4.913846088E-2,-1.144289140E-2,-2.807949901E-2,5.774068207E-2
9.116473333E-1,-3.599937673E-3,6.945761293E-4,-2.374086499E-2,2.402229502E-2
9.216253333E-1,-3.603808028E-2,1.346262932E-2,-3.684915304E-3,3.864665857E-2
9.316033333E-1,-5.077150599E-2,4.127702105E-2,-2.703869462E-2,7.079992439E-2
9.415811250E-1,-5.624775692E-2,2.159989784E-2,-2.464309037E-2,6.509721690E-2
9.515591250E-1,-3.876800365E-2,3.517164169E-3,-8.026472926E-3,3.974610445E-2
9.615371250E-1,2.642071245E-3,-1.222104616E-2,-3.721343458E-2,3.925779187E-2
9.715151250E-1,5.716672452E-2,-1.915440953E-2,-6.825454831E-3,6.067546976E-2
9.814931250E-1,6.953495150E-2,-3.231208828E-2,-1.136114001E-3,7.668423100E-2
9.914721250E-1,3.847059051E-2,-1.294429192E-2,-1.311179638E-2,4.265513137E-2
1.001450125E0,2.645392737E-2,-4.264940824E-3,2.304387689E-3,2.689442686E-2
1.011428125E0,-5.672659135E-3,2.274493799E-3,-1.401402175E-2,1.528872753E-2
1.021406125E0,-3.366721477E-2,2.941303876E-2,-1.895608842E-2,4.855863968E-2
1.031384125E0,-6.490038441E-2,1.452819301E-2,-1.581321001E-2,6.836070436E-2
1.041362125E0,-5.810924543E-2,8.971547429E-3,-3.257834673E-2,6.721995049E-2
1.051340125E0,-1.911697022E-2,2.747676984E-2,-1.641138017E-2,3.727954977E-2
1.061318125E0,-8.107390054E-3,-2.933274005E-3,-1.416487992E-2,1.658245136E-2
1.071296125E0,-2.602598828E-3,-5.219800277E-3,-2.898347855E-2,2.956453727E-2
1.081274125E0,3.797491793E-2,-2.241975971E-2,-1.805620193E-2,4.765255969E-2
1.091252125E0,5.233321506E-2,-2.898650265E-2,-3.407347977E-2,6.884754722E-2
1.101231125E0,1.966189989E-2,-1.190159633E-2,-2.703927934E-2,3.548747567E-2
1.111209125E0,2.710983194E-2,-9.915936710E-3,-2.793858111E-2,4.017254165E-2
1.121187125E0,-1.025986605E-2,4.572385596E-3,-1.910694659E-2,2.216409189E-2
1.131165125E0,-6.037653071E-2,2.167622228E-2,-1.744224429E-3,6.417340876E-2
1.141143125E0,-6.437325336E-2,1.819939476E-2,-6.655944049E-2,9.436785913E-2
1.151121125E0,-3.950995137E-2,-3.616347564E-3,6.525492668E-4,3.968047438E-2
1.161099125E0,-2.915303410E-2,7.052208027E-3,-5.338507891E-2,6.123397492E-2
1.171077125E0,3.498093909E-3,1.796752525E-2,-2.703635573E-2,3.265016319E-2
1.181055125E0,1.966628301E-2,-1.296441914E-2,-6.229038835E-3,2.436472401E-2
